budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,streaming
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Drama""}]",,8000011,"[{""id"": 2000, ""name"": ""village""}, {""id"": 2001, ""name"": ""corruption""}, {""id"": 2002, ""name"": ""election""}, {""id"": 2003, ""name"": ""period""}, {""id"": 2004, ""name"": ""rivalry""}]",te,Rangasthalam,"In a 1980s village, a partially deaf young man takes on the tyrannical president whose corruption has crushed the locals for decades.",58,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2018-01-01,0,179,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Rangasthalam,8.1,2300,Netflix
0,"[{""id"": 1000, ""name"": ""Biography""}, {""id"": 1001, ""name"": ""Drama""}]",,8000012,"[{""id"": 2000, ""name"": ""biopic""}, {""id"": 2001, ""name"": ""cinema""}, {""id"": 2002, ""name"": ""actress""}, {""id"": 2003, ""name"": ""tragedy""}, {""id"": 2004, ""name"": ""period""}]",te,Mahanati,"The life story of legendary South Indian actress Savitri, charting her meteoric rise and tragic decline in the golden age of cinema.",42,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2018-01-01,0,177,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Mahanati,8.2,1600,Amazon Prime Video
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Drama""}, {""id"": 1002, ""name"": ""History""}]",,8000013,"[{""id"": 2000, ""name"": ""freedom fighter""}, {""id"": 2001, ""name"": ""period""}, {""id"": 2002, ""name"": ""rebellion""}, {""id"": 2003, ""name"": ""british raj""}, {""id"": 2004, ""name"": ""war""}]",te,Sye Raa Narasimha Reddy,"The story of Uyyalawada Narasimha Reddy, who rebelled against British rule decades before India's first war of independence.",36,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2019-01-01,0,170,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Sye Raa Narasimha Reddy,6.9,1200,ZEE5
0,"[{""id"": 1000, ""name"": ""Romance""}, {""id"": 1001, ""name"": ""Comedy""}]",,8000014,"[{""id"": 2000, ""name"": ""misunderstanding""}, {""id"": 2001, ""name"": ""love""}, {""id"": 2002, ""name"": ""college""}, {""id"": 2003, ""name"": ""feel good""}]",te,Geetha Govindam,A mild-mannered lecturer's life turns upside down when a misunderstanding makes the woman he loves believe he is a pervert.,50,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2018-01-01,0,142,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Geetha Govindam,7.2,1900,Netflix
0,"[{""id"": 1000, ""name"": ""Romance""}, {""id"": 1001, ""name"": ""Drama""}]",,8000015,"[{""id"": 2000, ""name"": ""long distance""}, {""id"": 2001, ""name"": ""village girl""}, {""id"": 2002, ""name"": ""love""}, {""id"": 2003, ""name"": ""feel good""}]",te,Fidaa,"A spirited village girl and an NRI fall in love, but her attachment to her roots and his life abroad test their relationship.",34,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2017-01-01,0,149,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Fidaa,7.3,1100,Aha
0,"[{""id"": 1000, ""name"": ""Romance""}, {""id"": 1001, ""name"": ""Drama""}, {""id"": 1002, ""name"": ""Mystery""}]",,8000016,"[{""id"": 2000, ""name"": ""love letter""}, {""id"": 2001, ""name"": ""army""}, {""id"": 2002, ""name"": ""period""}, {""id"": 2003, ""name"": ""kashmir""}, {""id"": 2004, ""name"": ""mystery""}]",te,Sita Ramam,"An orphaned soldier searches for the woman whose letters changed his life, unravelling a decades-old love story and a hidden truth.",56,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2022-01-01,0,163,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Sita Ramam,8.3,2000,Amazon Prime Video
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Drama""}]",,8000017,"[{""id"": 2000, ""name"": ""ego clash""}, {""id"": 2001, ""name"": ""police""}, {""id"": 2002, ""name"": ""ex army""}, {""id"": 2003, ""name"": ""remake""}]",te,Bheemla Nayak,A righteous sub-inspector and an arrogant former soldier lock horns in an ego battle that escalates into all-out war.,30,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2022-01-01,0,150,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Bheemla Nayak,6.6,900,Disney+ Hotstar
0,"[{""id"": 1000, ""name"": ""Mystery""}, {""id"": 1001, ""name"": ""Adventure""}, {""id"": 1002, ""name"": ""Thriller""}]",,8000018,"[{""id"": 2000, ""name"": ""krishna""}, {""id"": 2001, ""name"": ""treasure hunt""}, {""id"": 2002, ""name"": ""mythology""}, {""id"": 2003, ""name"": ""investigation""}]",te,Karthikeya 2,A rationalist doctor is drawn into a thrilling hunt for a lost relic of Lord Krishna that blurs the line between science and faith.,44,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2022-01-01,0,145,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Karthikeya 2,7.6,1400,Amazon Prime Video
0,"[{""id"": 1000, ""name"": ""Comedy""}, {""id"": 1001, ""name"": ""Crime""}, {""id"": 1002, ""name"": ""Thriller""}]",,8000019,"[{""id"": 2000, ""name"": ""dj""}, {""id"": 2001, ""name"": ""murder""}, {""id"": 2002, ""name"": ""comedy""}, {""id"": 2003, ""name"": ""twist""}]",te,DJ Tillu,A carefree DJ falls for a mysterious woman and finds himself entangled in a murder that turns his life into chaos.,33,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2022-01-01,0,142,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,DJ Tillu,7.1,1000,Aha
0,"[{""id"": 1000, ""name"": ""Biography""}, {""id"": 1001, ""name"": ""Action""}, {""id"": 1002, ""name"": ""Drama""}]",,8000020,"[{""id"": 2000, ""name"": ""biopic""}, {""id"": 2001, ""name"": ""army""}, {""id"": 2002, ""name"": ""26/11""}, {""id"": 2003, ""name"": ""sacrifice""}, {""id"": 2004, ""name"": ""based on true events""}]",te,Major,"The true story of Major Sandeep Unnikrishnan, who gave his life saving hostages during the 2008 Mumbai terror attacks.",41,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2022-01-01,0,148,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Major,7.7,1500,Netflix
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Thriller""}, {""id"": 1002, ""name"": ""Drama""}]",,8000021,"[{""id"": 2000, ""name"": ""mistaken identity""}, {""id"": 2001, ""name"": ""assassin""}, {""id"": 2002, ""name"": ""family""}, {""id"": 2003, ""name"": ""twist""}]",te,Athadu,A contract killer assumes a dead stranger's identity to evade the police and unexpectedly finds a family and a reason to live.,35,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2005-01-01,0,177,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Athadu,7.8,1200,ZEE5
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Drama""}]",,8000022,"[{""id"": 2000, ""name"": ""village adoption""}, {""id"": 2001, ""name"": ""rich heir""}, {""id"": 2002, ""name"": ""social""}, {""id"": 2003, ""name"": ""rivalry""}]",te,Srimanthudu,The heir to a vast fortune adopts his ancestral village and fights the feudal lord oppressing its people.,32,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2015-01-01,0,158,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Srimanthudu,7.0,1100,Amazon Prime Video
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Drama""}]",,8000023,"[{""id"": 2000, ""name"": ""politics""}, {""id"": 2001, ""name"": ""chief minister""}, {""id"": 2002, ""name"": ""idealism""}, {""id"": 2003, ""name"": ""social""}]",te,Bharat Ane Nenu,An Oxford graduate unexpectedly becomes Chief Minister after his father's death and takes on a corrupt political system.,34,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2018-01-01,0,173,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Bharat Ane Nenu,7.0,1200,Aha
0,"[{""id"": 1000, ""name"": ""Drama""}]",,8000024,"[{""id"": 2000, ""name"": ""ceo""}, {""id"": 2001, ""name"": ""farmers""}, {""id"": 2002, ""name"": ""redemption""}, {""id"": 2003, ""name"": ""friendship""}, {""id"": 2004, ""name"": ""ambition""}]",te,Maharshi,A billionaire CEO leaves it all behind to help his childhood friend and a community of farmers fight for their land.,28,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2019-01-01,0,176,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Maharshi,6.7,900,Amazon Prime Video
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Comedy""}]",,8000025,"[{""id"": 2000, ""name"": ""army officer""}, {""id"": 2001, ""name"": ""mass""}, {""id"": 2002, ""name"": ""comedy""}, {""id"": 2003, ""name"": ""corruption""}]",te,Sarileru Neekevvaru,An army major on a mission protects the family of a fallen soldier while taking down a ruthless politician.,30,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2020-01-01,0,169,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Sarileru Neekevvaru,6.4,1000,Amazon Prime Video
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Thriller""}]",,8000026,"[{""id"": 2000, ""name"": ""heist""}, {""id"": 2001, ""name"": ""undercover""}, {""id"": 2002, ""name"": ""crime city""}, {""id"": 2003, ""name"": ""twist""}]",te,Saaho,An undercover operation to catch a thief unfolds amid a power struggle over a slain crime lord's empire.,31,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2019-01-01,0,170,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Saaho,5.4,1300,Disney+ Hotstar
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Crime""}, {""id"": 1002, ""name"": ""Drama""}]",,8000027,"[{""id"": 2000, ""name"": ""college""}, {""id"": 2001, ""name"": ""gangster""}, {""id"": 2002, ""name"": ""cult classic""}, {""id"": 2003, ""name"": ""youth""}]",te,Shiva,A new college student rises against the campus goons and the crime network backing them in this genre-defining cult classic.,26,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",1989-01-01,0,151,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Shiva,8.0,700,YouTube
0,"[{""id"": 1000, ""name"": ""Crime""}, {""id"": 1001, ""name"": ""Thriller""}, {""id"": 1002, ""name"": ""Romance""}]",,8000028,"[{""id"": 2000, ""name"": ""on the run""}, {""id"": 2001, ""name"": ""money""}, {""id"": 2002, ""name"": ""cult classic""}, {""id"": 2003, ""name"": ""chase""}]",te,Kshana Kshanam,"An ordinary woman witnesses a murder and goes on the run with a petty thief, chased by killers and police alike.",24,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",1991-01-01,0,140,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Kshana Kshanam,7.9,600,YouTube
0,"[{""id"": 1000, ""name"": ""Drama""}, {""id"": 1001, ""name"": ""Romance""}]",,8000029,"[{""id"": 2000, ""name"": ""single father""}, {""id"": 2001, ""name"": ""memory loss""}, {""id"": 2002, ""name"": ""love""}, {""id"": 2003, ""name"": ""emotional""}]",te,Hi Nanna,A single father's life and his daughter's questions about her mother lead to the rediscovery of a forgotten love story.,52,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2023-01-01,0,157,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Hi Nanna,7.8,1400,Netflix
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Drama""}]",,8000030,"[{""id"": 2000, ""name"": ""coal mine""}, {""id"": 2001, ""name"": ""village""}, {""id"": 2002, ""name"": ""politics""}, {""id"": 2003, ""name"": ""revenge""}, {""id"": 2004, ""name"": ""period""}]",te,Dasara,"In a coal-mining village, love, friendship and local politics collide around a coveted liquor shop and a brewing rebellion.",50,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2023-01-01,0,156,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Dasara,7.4,1300,Netflix
0,"[{""id"": 1000, ""name"": ""Romance""}, {""id"": 1001, ""name"": ""Comedy""}, {""id"": 1002, ""name"": ""Drama""}]",,8000031,"[{""id"": 2000, ""name"": ""marriage""}, {""id"": 2001, ""name"": ""love""}, {""id"": 2002, ""name"": ""ego""}, {""id"": 2003, ""name"": ""family""}]",te,Kushi,Two young people from ideologically opposite families fall in love and navigate the realities of marriage and ego.,46,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2023-01-01,0,154,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Kushi,6.3,1100,Netflix
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Thriller""}, {""id"": 1002, ""name"": ""Drama""}]",,8000032,"[{""id"": 2000, ""name"": ""friendship""}, {""id"": 2001, ""name"": ""violence""}, {""id"": 2002, ""name"": ""power struggle""}, {""id"": 2003, ""name"": ""loyalty""}]",te,Salaar: Part 1 – Ceasefire,A fierce loner is pulled back into a brutal world of power and bloodshed to keep a promise to his only friend.,65,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2023-01-01,0,175,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Salaar: Part 1 – Ceasefire,6.6,2000,Netflix
0,"[{""id"": 1000, ""name"": ""Science Fiction""}, {""id"": 1001, ""name"": ""Action""}, {""id"": 1002, ""name"": ""Fantasy""}]",,8000033,"[{""id"": 2000, ""name"": ""dystopia""}, {""id"": 2001, ""name"": ""mythology""}, {""id"": 2002, ""name"": ""future""}, {""id"": 2003, ""name"": ""epic""}, {""id"": 2004, ""name"": ""prophecy""}]",te,Kalki 2898 AD,"In a dystopian future, a bounty hunter and a band of rebels protect a woman whose unborn child may be the prophesied saviour of mankind.",80,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2024-01-01,0,181,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Kalki 2898 AD,7.0,2500,Netflix
0,"[{""id"": 1000, ""name"": ""Comedy""}, {""id"": 1001, ""name"": ""Romance""}, {""id"": 1002, ""name"": ""Drama""}]",,8000034,"[{""id"": 2000, ""name"": ""interfaith""}, {""id"": 2001, ""name"": ""family""}, {""id"": 2002, ""name"": ""lies""}, {""id"": 2003, ""name"": ""feel good""}]",te,Ante Sundaraniki,A couple from different religious backgrounds spin an elaborate web of lies to win their families' approval for marriage.,27,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2022-01-01,0,163,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Ante Sundaraniki,7.1,800,Netflix
0,"[{""id"": 1000, ""name"": ""Drama""}, {""id"": 1001, ""name"": ""Romance""}]",,8000035,"[{""id"": 2000, ""name"": ""anthology""}, {""id"": 2001, ""name"": ""small town""}, {""id"": 2002, ""name"": ""love""}, {""id"": 2003, ""name"": ""realistic""}]",te,C/o Kancharapalem,"Four love stories across different ages unfold in a small town, quietly connected by fate in this acclaimed indie drama.",25,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2018-01-01,0,153,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,C/o Kancharapalem,8.4,700,Amazon Prime Video
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Comedy""}, {""id"": 1002, ""name"": ""Drama""}]",,8000036,"[{""id"": 2000, ""name"": ""doppelganger""}, {""id"": 2001, ""name"": ""police""}, {""id"": 2002, ""name"": ""mass""}, {""id"": 2003, ""name"": ""revenge""}]",te,Vikramarkudu,A petty thief who looks exactly like a fearless cop is roped in to take down a brutal feudal lord terrorising a village.,26,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2006-01-01,0,165,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Vikramarkudu,7.0,700,Sun NXT
